capability,decision,current_owner,target_owner,checkpoint,status,verification,notes
DNS and interface policy,document-or-implement,"partial library support","native network policy",CM-018,gap,"No complete model exists.","Use library support where available; document unsupported controls."
Daemon lifecycle,complete,"daemon signal handling and shutdown route","native lifecycle policy",CM-019,partial,"SIGTERM, SIGUSR1, Ctrl-C, shutdown route coverage exists.","Add stop timer and stop-with-process if practical."
Security and redaction,complete,"native bearer auth plus JSON-RPC secret debt","native auth and redaction only",CM-019,partial,"Bearer auth smoke exists.","Delete token-in-params and JSON-RPC secret surface."
Legacy public surfaces,remove,"JSON-RPC, parity tests, aria2 names","deleted",CM-020,gap,"Legacy references still exist.","Delete after native coverage exists."
XML-RPC,remove,"none active","deleted",CM-020,excluded,"Out of scope.","Do not implement."
libaria2 API compatibility,remove,"none active","deleted",CM-020,excluded,"Out of scope.","Do not implement."
aria2 storage compatibility,remove,"old migration-style rows only","deleted",CM-009,excluded,"Out of scope.","Native schema only."
HTTP pipelining,remove,"none active","deleted",CM-020,excluded,"Out of scope.","Do not implement."
BitTorrent MSE ARC4,remove,"removed public controls","deleted",CM-020,excluded,"Out of scope.","Do not reintroduce."
LPD,remove,"none active","deleted",CM-020,excluded,"Out of scope.","Do not implement."
ED2K,remove,"not a raria target","deleted",CM-020,excluded,"Out of scope.","Do not add."
