id,status,domain,checkpoint,tracker,acceptance_summary,verification_summary,next_action
ED2K-011,pending,reachability,HighID LowID and callback policy,checkpoints/ED2K-011-callback.csv,"HighID direct scheduling, LowID server-mediated callback, callback failure, timeout, and unreachable-state boundaries are explicit.","pending","Start ED2K-012 peer handshake."
ED2K-012,pending,peer,Peer handshake and capability truth,checkpoints/ED2K-012-peer-handshake.csv,"Hello, HelloAnswer, eMule info, local feature flags, crypt limits, secure-ident limits, and large-file claims are truthful.","pending","Start ED2K-013 peer request state."
ED2K-013,pending,peer,Peer file status hashset queue and request state,checkpoints/ED2K-013-peer-request-state.csv,"Peer file status, hashset exchange, start-upload request, queue rank, no-file, out-of-parts, and request state transitions are implemented.","pending","Start ED2K-014 source exchange."
ED2K-014,pending,sources,Source Exchange and source lifecycle,checkpoints/ED2K-014-source-exchange.csv,"SX1/SX2 source exchange, source dedupe, origin flags, source quality, dead-source expiry, queue state, and retry policy are native.","pending","Start ED2K-015 part planning."
ED2K-015,pending,transfer,Part request planning and I64 offsets,checkpoints/ED2K-015-part-planning.csv,"Normal and I64 request planning maps ED2K part ranges to native disk pieces without overflow or duplicate ownership.","pending","Start ED2K-016 compressed parts and retry."
ED2K-016,pending,transfer,Compressed parts cancel timeout and retry,checkpoints/ED2K-016-compression-retry.csv,"Compressed payloads, block validation, cancellation, timeout, stall recovery, retry, and range release avoid corrupt output and busy loops.","pending","Start ED2K-017 integrity disk resume."
ED2K-017,pending,integrity,Integrity disk resume and completion truth,checkpoints/ED2K-017-disk-resume.csv,"MD4/AICH verification, disk flush, resume, crash recovery, and terminal completion are based on verified bytes.","pending","Start ED2K-018 Kad bootstrap routing."
ED2K-018,pending,kad,Kad bootstrap and routing table,checkpoints/ED2K-018-kad-routing.csv,"Kad nodes bootstrap, routing buckets, contact validation, refresh, transaction expiry, and durable routing state are implemented.","pending","Start ED2K-019 Kad search publish."
ED2K-019,pending,kad,Kad source search publish and keyword search,checkpoints/ED2K-019-kad-search.csv,"Kad source search, source publish, keyword search, result parsing, dedupe, and bounded scheduling are implemented.","pending","Start ED2K-020 Kad firewall and limits."
ED2K-020,pending,kad,Kad firewall state buddy limits and scheduling,checkpoints/ED2K-020-kad-firewall.csv,"Kad firewall checks, firewalled state, buddy/direct-callback limitations, and unadvertised unsupported flows are documented and enforced.","pending","Start ED2K-021 sharing store."
ED2K-021,pending,sharing,Shared file store and publishing,checkpoints/ED2K-021-sharing-store.csv,"Completed and imported files can enter a native ED2K shared store with verified metadata and optional publish scheduling.","pending","Start ED2K-022 upload queue."
ED2K-022,pending,upload,Upload queue UDP reask and responder,checkpoints/ED2K-022-upload-queue.csv,"Upload slots, waiting ranks, TCP accept, UDP reask ACK, queue-full, file-not-found, and serving ranges work through native sharing state.","pending","Start ED2K-023 credits."
ED2K-023,pending,credits,Credits and secure-ident truth,checkpoints/ED2K-023-credits.csv,"Practical upload/download credit counters persist and influence queue fairness while unsupported secure-ident flows remain unadvertised.","pending","Start ED2K-024 native integration."
ED2K-024,pending,integration,Native API events CLI and daemon integration,checkpoints/ED2K-024-native-integration.csv,"ED2K task creation, status, lifecycle controls, events, daemon activation, config projection, logs, and CLI behavior are raria-native.","pending","Start ED2K-025 search status docs."
ED2K-025,pending,docs,Search API status docs and stale scans,checkpoints/ED2K-025-search-docs.csv,"Native ED2K search resources, task status fields, user docs, stale-surface scans, and capability limitations match implemented behavior.","pending","Start ED2K-026 final validation and smoke evidence."
ED2K-026,pending,validation,Final local validation and manual smoke evidence,checkpoints/ED2K-026-final-validation.csv,"All ED2K tracker rows are closed, all relevant Rust validation passes, and manual public ED2K smoke evidence is compactly recorded when available.","pending","Native ED2K workstream complete."
