capability,decision,current_owner,target_owner,checkpoint,status,verification,notes
Peer request state,add,not present,native peer state machine,ED2K-013,verified,"cargo test -p raria-ed2k --test peer_request_state --locked covers file-name requests, file-status requests and answers, hashset requests and answers, upload-slot requests, queue rank parsing, request phases, and peer-owned range cleanup.",Queue and no-file states are explicit.
Source Exchange,add,not present,native source exchange parser and policy,ED2K-014,verified,"cargo test -p raria-ed2k --test source_exchange --locked covers SX1 and SX2 request selection, answer encoding and parsing, endpoint metadata, user hashes, crypt option metadata, malformed payloads, and required-crypt scheduling limits.",Safe dedupe and source quality rules.
Source lifecycle,add,not present,native source policy,ED2K-014,verified,"cargo test -p raria-ed2k --test source_exchange --locked covers duplicate merge, self and loopback rejection, origin updates, active caps, queued retry, dead-source expiry, and no-needed-parts quality.",Dead-source expiry and retry cadence.
Part transfer,add,not present,native ED2K transfer planner,ED2K-015,verified,"cargo test -p raria-ed2k --test part_planning --locked covers non-overlapping AICH emblock planning, remote part status, last partial blocks, RequestParts and RequestPartsI64 payload roundtrip, large offsets, and typed malformed-payload errors.",Compressed payload handling and disk writes remain in ED2K-016 and ED2K-017.
Compressed parts,add,not present,flate2-backed compressed payload handling,ED2K-016,verified,"cargo test -p raria-ed2k --test part_transfer --locked covers normal and I64 part payload validation, compressed chunk inflation, output ownership, compressed length checks, cancel frame construction, timeout release, and retry classification.",Disk writes and integrity completion remain in ED2K-017.
Resume and completion truth,add,not present,native verified byte state,ED2K-017,verified,"cargo test -p raria-ed2k --test disk_resume --locked and cargo test -p raria-core ed2k_resume_rows_roundtrip_by_task --locked cover verified-byte gating, incomplete flush rejection, corrupt requeue, AICH/source resume snapshots, and versioned native redb rows.",Runtime completion events remain in ED2K-024.
Kad routing,add,not present,native eMule Kad routing,ED2K-018,verified,"cargo test -p raria-ed2k --test kad_routing --locked and cargo test -p raria-core ed2k_kad_routing_rows_roundtrip_by_profile --locked cover contact validation, UDP key representation, buckets, replacements, closest lookup, requester exclusion, bootstrap and refresh cadence, transaction expiry, snapshots, and native redb routing persistence.",Generic Kademlia crates are not a direct owner.
Kad source and keyword search,add,not present,native Kad search state,ED2K-019,verified,"cargo test -p raria-ed2k --test kad_search --locked covers Kad traversal, source-search payloads, direct source extraction, SourceLifecycle merge, sharing-gated source publish, large-file source type truth, keyword target hashing, keyword request payloads, typed result parsing, and result-id dedupe.",Bounded scheduling and dedupe.
Kad firewall state,add,not present,native Kad reachability state,ED2K-020,verified,"cargo test -p raria-ed2k --test kad_firewall --locked covers TCP/UDP reachability status, bounded check cadence, manual firewalled assumptions, UDP reachability, direct source-publish gating, and unadvertised buddy/direct callback paths. Native config and API tests cover assume_firewalled and strict rejection of router helper options.",Unsupported buddy/direct callback remains unadvertised.
Sharing store,add,not present,native ED2K shared metadata,ED2K-021,verified,"cargo test -p raria-ed2k --test sharing_store --locked covers completed and imported shared metadata, ED2K hashset validation, duplicate root-hash replacement, sharing-gated server and Kad publish records, and verified-range disk reads.",No known.met import.
Upload queue,add,not present,native cooperative upload queue,ED2K-022,verified,"cargo test -p raria-ed2k --test upload_queue --locked covers upload slots, waiting ranks, duplicate peer rejection, active-slot promotion, TCP accept/queue/no-file frames, verified shared-part frames, and UDP reask ACK/FileNotFound/QueueFull responses.",Slots ranks and UDP reask response.
Credits,add,not present,native practical credit counters,ED2K-023,verified,"cargo test -p raria-ed2k --test credits --locked and cargo test -p raria-core ed2k_credit_rows_roundtrip_by_profile --locked cover uploaded/downloaded counters, native credit snapshots, bounded upload-queue score ordering, redb credit rows, and secure-ident non-advertisement.",No false secure-ident claim.
Server and Kad search API,add,not present,native search resources,ED2K-025,verified,"cargo test -p raria-rpc --test native_api ed2k_search --locked covers /api/v1/ed2k/searches create/list/detail resources, default server/Kad network selection, opaque search IDs, pagination, and startable ed2kUri result links.",Expose search as native resources.
Daemon ED2K runtime orchestration,add,placeholder status only,live native ED2K runtime context and schedulers,ED2K-027,verified,"cargo test -p raria-ed2k --test runtime --locked and cargo test -p raria-cli ed2k_runtime_waits_for_cancellation_without_failing_task --locked cover runtime context config projection bounded scheduler ticks cancellation and native task.ed2k.* status projection.","Live server Kad peer disk sharing and upload loops remain in ED2K-028 through ED2K-031."
Server runtime source discovery,add,protocol primitives only,live bounded TCP UDP server exchanges,ED2K-028,verified,"cargo test -p raria-ed2k --test server_runtime --locked covers local TCP login GetSources ID status FoundSources handling and UDP status challenge GlobalGetSources2 GlobalFoundSources handling. cargo test -p raria-ed2k --test runtime --locked covers source counter updates from server discovery.","Daemon-wide server-list scheduling and persistence refresh remain separate from the socket exchange owner."
Kad runtime source discovery,add,protocol primitives only,live bounded Kad UDP loops,ED2K-029,verified,"cargo test -p raria-ed2k --test kad_runtime --locked covers local UDP Kad hello, source lookup, keyword lookup, source publish, firewall observation, transaction cleanup, and silent-contact failure handling. cargo test -p raria-ed2k --test kad_search --locked and cargo test -p raria-ed2k --test kad_firewall --locked keep payload and firewall policy coverage intact.","Daemon-wide peer download and disk completion remain in ED2K-030 and ED2K-031."
Peer download runtime,add,protocol primitives only,live peer TCP transfer loops,ED2K-030,verified,"cargo test -p raria-ed2k --test peer_runtime --locked covers local TCP peer hello, eMule info, Source Exchange, file status, hashset, upload-slot request, queue rank, part request, normal part payload validation, corrupt payload rejection, and stalled-part timeout backoff. Peer, transfer, and source primitive tests remain green.","Disk writes completion truth and resume integration remain in ED2K-031."
Disk sharing runtime,add,verified primitives only,live disk completion resume sharing and upload service,ED2K-031,verified,"cargo test -p raria-ed2k --test disk_runtime --locked covers local file writes, verified range flush, corrupt requeue, native snapshot restore, sharing-on-completion, upload slot response, verified shared-part serving, and UDP reask state. Disk, sharing, upload, and credit primitive tests remain green.","Daemon integration continues in ED2K-032 through ED2K-034."
Daemon inline peer transfer,add,status tick only,native daemon peer-to-disk execution for inline sources,ED2K-032,verified,"cargo test -p raria-cli ed2k_runtime_downloads_inline_peer_and_completes_task --locked -- --nocapture covers native ED2K link parsing, inline peer source execution over local TCP, verified disk write, native progress, completed task state, and native transfer status.","Server Kad search and upload daemon service remain open."
Daemon server Kad search execution,add,primitive runtime owners only,native daemon discovery and search loops,ED2K-033,verified,"cargo test -p raria-cli ed2k --locked -- --nocapture verifies daemon server bootstrap discovery, Kad bootstrap discovery, queued native Kad search execution, cancellation before discovery, cancellable discovery waits, ED2K source caps, and inline peer transfer rate policy with local socket fixtures.","No public-network gate and no JSON-RPC search method."
Daemon sharing upload service,add,primitive sharing upload owners only,native daemon sharing and upload listeners,ED2K-034,pending,pending,"Must expose verified shared files through local TCP upload and UDP reask service when sharing is enabled."
Manual ED2K smoke,add,not present,var smoke evidence plus concise docs,ED2K-035,pending,pending,Not an automated gate.
aMule GUI web and text clients,prune,not present,deleted,ED2K-001,verified,Tracker prune rules exclude application shells.,Do not add.
Chat friends comments ratings preview collections captcha,prune,not present,deleted,ED2K-001,verified,Tracker prune rules exclude non-download application features.,Do not add.
Legacy aMule databases,prune,not present,deleted,ED2K-001,verified,Tracker rejects part.met known.met known2.met clients.met imports unless a future migration goal is approved.,Native schemas only.
Router helper stacks,prune,not present,deleted,ED2K-001,verified,Tracker replaces UPnP/NAT helper stacks with explicit listen and firewall configuration.,No router-control dependency.
