capability,decision,current_owner,target_owner,checkpoint,status,verification,notes
Progress and stats,modernize,Native projections plus old event bus,native progress and stats source,CM-005,verified,Native stats and progress events exist; old JSON-RPC notification projection was deleted in CM-020; /api/v1/events remains the public event source.,Private DownloadEvent bridge is not a public surface.
Runtime mutation,modernize,Native routes with mixed backend enforcement,native mutation policy,CM-008,verified,"Native transfer, source, file selection, tracker, queue, seeding, metadata-only, WebSeed, and delete-unselected mutation paths are covered by native API, daemon, BT, and full workspace tests.",No compatibility-only mutation tests remain.
Structured logs,retain,raria logging helpers,native structured logs,CM-019,verified,Native log-file redaction and task-context smoke tests pass.,Keep native task correlation only.
Hooks,modernize,Native hook names with legacy runtime context,native lifecycle hooks or event consumers,CM-019,verified,"Native task start, complete, and fail hook smoke tests pass.",Avoid compatibility hook names; stale compatibility assertions are deleted in CM-020.
HTTP/HTTPS transfers,retain,reqwest backend,reqwest with native policy,CM-011,verified,"Native request metadata, TLS/mTLS, proxy, cookie, netrc, range, conditional GET, If-Range, and resume tests pass. Legacy `.aria2` control-file decisions were removed.",Protocol-specific transfer policy continues in CM-018.
FTP/FTPS transfers,retain,suppaftp backend,suppaftp with native policy,CM-012,verified,"FTP auth, SIZE metadata, REST resume, SOCKS5 proxy, FTPS custom CA, and CLI FTP/FTPS smoke tests pass.",Keep focused tests only.
SFTP transfers,retain,russh and russh-sftp backend,russh and russh-sftp with native policy,CM-012,verified,"SFTP password auth, context credentials, private key auth, known_hosts, SOCKS5 proxy, metadata, resume, and CLI SFTP smoke tests pass.",Prefer SFTP for SSH-family file transfer.
SCP transfers,document-limit,not a committed raria surface,documented technical limitation,CM-012,limited,"Crates.io review found no mature Rust-native SCP backend worth adding. `openssh` shells out to OpenSSH, `simple_ssh` is early 0.1.x, and `fast-scp` is a CLI tool.",SFTP is the supported SSH-family file-transfer path.
Multi-source failover,retain,native source health and daemon failover,native source graph and health policy,CM-013,verified,"Source failure events, mirror failover, source health selection, and fallback completion tests pass.",Typed retry policy continues in CM-018.
Adaptive segmented downloads,complete,SegmentExecutor and daemon replanning,resume-safe adaptive segment planning,CM-013,verified,Fallback mirrors with different size or range capabilities receive a fresh segment plan after source failure. Native segment checkpoint tests pass.,Protocol-specific stall policy continues in CM-018.
Resume and crash recovery,complete,native rows and versioned native segment checkpoints,native session recovery,CM-010,verified,"Range restart, If-Range, preserved completed bytes, native segment rows, BT fastresume binding and restore, explicit save, periodic save, SIGUSR1 save, and terminal lifecycle restore tests pass.",Continue protocol-specific resume policy in CM-011 through CM-018.
Whole-file checksums,retain,checksum module plus daemon and single-download verification,native checksum policy,CM-014,verified,"Core checksum tests, daemon checksum mismatch cleanup, Metalink checksum failure, and single-download invalid-output cleanup pass.",Keep focused regression coverage.
Piece checksums,complete,native projection plus Metalink verifier and BT backend-owned verification,unified native piece projection,CM-014,verified,"Native piece projection, Metalink piece checksum failure cleanup, torrent metadata verification helpers, WebSeed piece verification, and librqbit-owned runtime piece state are covered.",Do not duplicate backend-owned BT scheduling.
File allocation,modernize,file_alloc module and range executor preparation,native allocation policy,CM-014,verified,"Range prepare_output_file tests cover none, truncation, preallocation, unknown length, and fallback behavior.",Linux fallocate is used where available; other platforms fall back to truncation.
Conflict policy,modernize,raria.toml conflict_policy mapped to runtime flags,native conflict policy,CM-014,verified,"Rename, overwrite, fail, and reuse-partial mapping tests pass; single-download rename and overwrite tests pass.",CLI flag cleanup remains in CM-020.
Metalink,retain-modern,quick-xml Metalink 4 parser and native normalizer,modern native Metalink task graph,CM-015,verified,"Parser, normalizer, native API task creation, config filters, checksum and piece checksum wiring, daemon completion, mirror failover, checksum failover, and torrent metaurl BT handoff tests pass.",Metalink 3 and old XML compatibility are deleted. `aria2.addMetalink` remains rejected.
BitTorrent torrent ingress,retain,librqbit service,native torrent tasks through librqbit,CM-016,verified,"Torrent bytes, torrent-file source, remote torrent metadata source, metadata projection, and WebSeed-backed smokes pass.",Runtime behavior continues in CM-017.
BitTorrent magnet metadata,complete,librqbit magnet path,native magnet lifecycle,CM-016,verified,Native daemon metadata event and metadata projection tests pass.,Long-running public swarm behavior remains final smoke evidence.
BitTorrent metadata-only,complete,librqbit list_only inspection,native metadata acquisition and pause policy,CM-016,verified,"librqbit 8.1.1 public docs expose list_only/ListOnly; raria wraps it through `bt.metadataOnly` and focused service, API, and runtime tests pass.",No aria2 option or pause adapter was added.
BitTorrent duplicate info-hash policy,complete,librqbit AlreadyManaged rejection,native duplicate task policy,CM-016,verified,Focused duplicate info-hash test fails before the fix and passes after raria rejects `AlreadyManaged`.,Policy is reject duplicate info-hash within one BT service session.
BitTorrent DHT,retain,librqbit DHT wiring,native DHT policy and persistence,CM-016,verified,"DHT session options, persistence restore, native session path, and daemon shutdown dump tests pass.",Do not hand-roll DHT.
BitTorrent UDP trackers,retain,librqbit tracker options,native tracker projection,CM-016,verified,Local UDP tracker download and native daemon tracker projection tests pass.,Keep regression coverage.
BitTorrent PEX,retain-with-limitation,librqbit behavior with limited policy control,library support or minimal native gate,CM-017,limited,librqbit 8.1.1 rustdoc has no public PEX disable option; focused handshake tests verify ut_pex advertisement and the current disable-policy limitation.,"Do not hand-roll PEX. Native config may carry intent, but backend enforcement is a documented limitation until upstream exposes a control."
BitTorrent WebSeed,complete,raria WebSeed support and librqbit integration,native WebSeed status and failure projection,CM-017,verified,BEP-17 and BEP-19 WebSeed ledger test passed; daemon WebSeed coverage remains native.,Do not duplicate librqbit transfer logic.
BitTorrent file selection,complete,native route plus librqbit update_only_files,native file selection and persistence,CM-017,verified,Native live file selection and unselected-file cleanup daemon smokes passed.,Delete compatibility-only select-file surfaces in CM-020.
BitTorrent tracker management,complete,native routes plus limited backend live mutation,native tracker policy,CM-017,verified,Native live BT metadata and UDP tracker projection daemon smokes passed.,Keep native tracker fields stable without backend-private details.
BitTorrent peer projection,complete,native peer snapshots,native peer resource,CM-017,verified,Native live BT metadata peer projection daemon smoke passed.,Avoid overfitting client-specific fields.
BitTorrent seeding controls,complete,native seeding policy with runtime logic,native seeding lifecycle,CM-017,verified,Seeding lifecycle and seeding queue-release daemon smokes passed. BT global and per-task download/upload limits map into librqbit rate-limit config.,CM-018 remains responsible for ordinary-transfer policy.
BitTorrent fastresume,complete,librqbit JSON persistence dir,native metadata reference to external state,CM-017,verified,Fastresume session path and service restart restore tests passed. Restored AlreadyManaged librqbit handles are rebound to new native GIDs while same-session duplicates remain rejected.,Do not embed librqbit internals without public API.
Rate limiting,complete,governor range limiter plus librqbit BT limits,global and per-task policy,CM-018,verified,"Native task create and patch limits are persisted; range tasks use governor; BT tasks pass global and per-task download/upload limits to librqbit public `LimitsConfig`. Focused core, RPC, range, BT, and daemon tests pass.",Do not add another limiter layer.
Retry model,modernize,executor retry and daemon classification,typed native retry classification,CM-018,verified,Range retry and permanent-failure tests pass. Native daemon classification covers transient timeout and permanent auth/not-found messages.,Keep small policy layer.
Ordinary transfer stall watchdog,complete,retry timeout and lowest-speed policy,native no-progress and tail-stall protection,CM-018,verified,Range lowest-speed and max-file-not-found tests pass. Single-download timeout and connect-timeout smokes cover ordinary transfer timeout wiring.,Keep this separate from BitTorrent idle-download policy.
DNS and interface policy,document-limit,library-owned DNS and socket binding,documented technical limitation,CM-018,limited,"reqwest exposes HTTP resolver and bind controls, but FTP/SFTP/BT selected libraries do not share a uniform cross-protocol hook. raria keeps OS/library DNS and does not add c-ares or custom socket binding in this checkpoint.",Implement protocol-specific hooks later only with concrete product need and focused tests.
Environment proxy policy,modernize,explicit raria proxy config,explicit native proxy policy,CM-018,verified,HTTP now disables reqwest system proxy inheritance unless raria native proxy config is set. Explicit proxy and no-proxy tests continue to cover configured proxy behavior.,Future clients must configure proxy through raria-native config or task policy.
Daemon lifecycle,complete,daemon signal handling and shutdown route,native lifecycle policy,CM-019,verified,"Native shutdown route, SIGUSR1 save, SIGTERM shutdown, stop-after timer, Unix parent PID policy, CLI parse, and raria.toml projection tests pass.",Non-Unix parent monitoring is documented as unsupported and shuts down.
Security and redaction,complete,native bearer auth plus JSON-RPC secret debt,native auth and redaction only,CM-019,verified,Bearer auth and redacted structured-log daemon smokes pass.,Delete token-in-params and JSON-RPC secret surface in CM-020.
Legacy public surfaces,remove,"JSON-RPC, parity tests, aria2 names",deleted,CM-020,verified,"JSON-RPC implementation, aria2 method tests, token-in-params auth, notification projection, facade, parity tests, and old client claims are deleted. Strict stale scans are clean outside tracker docs.",Remaining Gid hits are runtime-private bridge code and native tests asserting no public Gid field.
Motrix or AriaNg compatibility,remove,legacy client compatibility risk,deleted,CM-020,excluded,Future clients must adapt to raria-native API.,Do not keep JSON-RPC or aria2 fields for client compatibility.
XML-RPC,remove,none active,deleted,CM-020,excluded,Out of scope.,Do not implement.
libaria2 API compatibility,remove,none active,deleted,CM-020,excluded,Out of scope.,Do not implement.
aria2 storage compatibility,remove,old migration-style rows only,deleted,CM-009,excluded,Out of scope.,Native schema only.
HTTP pipelining,remove,none active,deleted,CM-020,excluded,Out of scope.,Do not implement.
BitTorrent MSE ARC4,remove,removed public controls,deleted,CM-020,excluded,Out of scope.,Do not reintroduce.
LPD,remove,none active,deleted,CM-020,excluded,Out of scope.,Do not implement.
Native ED2K/eMule,delegate,previously excluded from raria target,docs/core-modernization/ed2k-native,ED2K-001,planned,Native ED2K/eMule has a dedicated tracker with aMule behavior authority and raria-native public surface rules.,Do not add aria2 JSON-RPC aMule database import or legacy Motrix compatibility.
